,NON,WEAK,STRONG,ALL
HiNF-A [T00360],0.0,0.0,0.0013577732518669382,0.0003935458480913026
CDX2 [T03246],0.0,0.0,0.0013577732518669382,0.0003935458480913026
c-Rel [T00168],0.0,0.0,0.0013577732518669382,0.0003935458480913026
STAT1alpha [T01492],0.0,0.0,0.004073319755600814,0.0011806375442739079
c-Myc [T00140],0.006600660066006601,0.00446677833612507,0.0013577732518669382,0.004329004329004329
SRF [T00764],0.0011001100110011,0.00893355667225014,0.0027155465037338763,0.004329004329004329
MAZ [T00490],0.0011001100110011,0.005583472920156337,0.008146639511201629,0.004722550177095631
USF1 [T00874],0.007150715071507151,0.00446677833612507,0.002036659877800407,0.004722550177095631
RAR-beta:RXR-alpha [T05420],0.005500550055005501,0.006700167504187605,0.0027155465037338763,0.005116096025186935
NF-E2 [T00558],0.0044004400440044,0.012283640424343942,0.0027155465037338763,0.006690279417552145
Smad3 [T04096],0.0022002200220022,0.010050251256281407,0.009504412763068567,0.0070838252656434475
RAR-alpha1 [T00719],0.0088008800880088,0.010050251256281407,0.0027155465037338763,0.00747737111373475
GATA-3 [T00311],0.013201320132013201,0.006700167504187605,0.006788866259334691,0.00905155450609996
Ik-1 [T02702],0.015401540154015401,0.010050251256281407,0.0013577732518669382,0.009445100354191263
NRF-1 [T00673],0.0176017601760176,0.00893355667225014,0.0,0.009445100354191263
C/EBPdelta [T00583],0.0033003300330033004,0.015633724176437745,0.010862186014935505,0.009838646202282565
STAT3 [T01493],0.011001100110011002,0.01340033500837521,0.004073319755600814,0.009838646202282565
MITF [T01553],0.007700770077007701,0.01340033500837521,0.009504412763068567,0.01023219205037387
PU.1 [T02068],0.015401540154015401,0.007816862088218872,0.006788866259334691,0.01023219205037387
Egr-3 [T00243],0.0176017601760176,0.006700167504187605,0.006788866259334691,0.010625737898465172
POU2F1 [T00641],0.0022002200220022,0.014517029592406477,0.01697216564833673,0.010822510822510822
NF-YA [T01804],0.020902090209020903,0.00893355667225014,0.005431093007467753,0.012199921290830381
HMG I(Y) [T02368],0.009900990099009901,0.023450586264656615,0.005431093007467753,0.01338055883510429
ELF-1 [T01113],0.0187018701870187,0.012283640424343942,0.012219959266802444,0.014561196379378197
COUP-TF1 [T00149],0.022002200220022004,0.013958682300390842,0.010862186014935505,0.015938606847697757
RBP-Jkappa [T01616],0.0242024202420242,0.014517029592406477,0.016293279022403257,0.018496654860291225
ETF [T00270],0.030803080308030802,0.012283640424343942,0.010862186014935505,0.018496654860291225
HNF-4alpha [T03828],0.0231023102310231,0.023450586264656615,0.01493550577053632,0.02085792994883904
NF-kappaB [T00590],0.020902090209020903,0.02233389168062535,0.02240325865580448,0.021841794569067298
WT1 [T00899],0.0429042904290429,0.02233389168062535,0.005431093007467753,0.024793388429752067
FOXO4 [T03403],0.009900990099009901,0.03908431044109436,0.03394433129667346,0.02715466351829988
NF-kappaB1 [T00593],0.030803080308030802,0.023450586264656615,0.029192124915139173,0.027744982290436836
STAT5A [T04683],0.020902090209020903,0.04243439419318816,0.028513238289205704,0.030696576151121605
ATF-1 [T00968],0.0539053905390539,0.027359017308766054,0.027155465037338764,0.0367965367965368
PPAR-alpha:RXR-alpha [T05221],0.06765676567656766,0.02233389168062535,0.017651052274270197,0.0371900826446281
RelA [T00594],0.0407040704070407,0.03294249022892239,0.03937542430414121,0.0375836284927194
EBF [T05427],0.0484048404840484,0.0463428252372976,0.025797691785471828,0.04112554112554113
ATF [T00051],0.06215621562156216,0.034059184812953655,0.027155465037338764,0.04210940574576938
CTF [T00174],0.046754675467546754,0.04578447794528197,0.035302104548540394,0.04309327036599764
AhR [T01795],0.061606160616061605,0.04020100502512563,0.024439918533604887,0.04329004329004329
c-Fos [T00123],0.034103410341034104,0.05471803461753211,0.042090970807875085,0.043683589138134596
HIF-1 [T01609],0.06545654565456546,0.03685092127303183,0.026476578411405296,0.0440771349862259
Sp1 [T00759],0.061606160616061605,0.04578447794528197,0.051595383570943655,0.053128689492325853
USF2 [T00878],0.12101210121012101,0.05583472920156337,0.03326544467073999,0.07260920897284534
CREB [T00163],0.10176017601760176,0.05025125628140704,0.07739307535641547,0.07654466745375836
ATF-2 [T00167],0.10176017601760176,0.05025125628140704,0.07739307535641547,0.07654466745375836
