,0 -- 1.93483998,3.22714918,4.33691651,6.96985935,70,GENERAL
NR1H2::RXRA,0.0014992503748125937,0.0005,0.0,0.0010005002501250625,0.0,0.0006000600060006001
BCL6B,0.0009995002498750624,0.0005,0.0,0.0010005002501250625,0.0010005002501250625,0.0007000700070007
ZSCAN16,0.0029985007496251873,0.004,0.0025,0.0025012506253126563,0.0015007503751875938,0.0027002700270027003
GLIS1,0.008995502248875561,0.0035,0.004,0.006003001500750375,0.006003001500750375,0.005700570057005701
IRF2,0.017491254372813594,0.014,0.015,0.017008504252126064,0.015507753876938469,0.0158015801580158
RXRA::VDR,0.02348825587206397,0.0215,0.0205,0.02451225612806403,0.02451225612806403,0.022902290229022904
E2F7,0.026986506746626688,0.0355,0.0275,0.0335167583791896,0.03551775887943972,0.0318031803180318
Znf423,0.0544727636181909,0.045,0.03,0.04302151075537769,0.03651825912956478,0.041804180418041806
NFIC::TLX1,0.05147426286856572,0.0435,0.0575,0.04302151075537769,0.04202101050525263,0.04750475047504751
PAX9,0.054972513743128434,0.071,0.063,0.06353176588294147,0.06653326663331666,0.0638063806380638
ZNF410,0.04897551224387806,0.0645,0.0565,0.07903951975987994,0.080040020010005,0.0658065806580658
IRF8,0.07746126936531735,0.0755,0.0825,0.09904952476238119,0.1055527763881941,0.08800880088008801
E2F3,0.09495252373813093,0.097,0.0925,0.128064032016008,0.16108054027013508,0.1147114711471147
ZBED1,0.09795102448775612,0.118,0.1045,0.1295647823911956,0.1340670335167584,0.11681168116811681
ZSCAN31,0.11444277861069466,0.117,0.125,0.1135567783891946,0.11705852926463231,0.11741174117411741
RFX1,0.09795102448775612,0.133,0.125,0.12406203101550775,0.11455727863931967,0.1189118911891189
Nr2F6,0.09345327336331834,0.1325,0.1335,0.14207103551775888,0.12706353176588295,0.1257125712571257
IRF9,0.12443778110944528,0.1235,0.14,0.16108054027013508,0.1630815407703852,0.1424142414241424
EWSR1-FLI1,0.1424287856071964,0.1225,0.164,0.135567783891946,0.15957978989494748,0.14481448144814482
ESR1,0.14792603698150925,0.168,0.1325,0.14457228614307155,0.15407703851925963,0.1494149414941494
IRF4,0.14392803598200898,0.153,0.1605,0.17008504252126064,0.18209104552276137,0.1619161916191619
RFX3,0.1359320339830085,0.176,0.173,0.18209104552276137,0.16558279139569784,0.16651665166516652
HES7,0.16941529235382308,0.2015,0.2,0.1935967983991996,0.18259129564782392,0.18941894189418942
TP63,0.051974012993503245,0.1435,0.1855,0.24712356178089045,0.34817408704352176,0.19521952195219522
OVOL1,0.15692153923038482,0.1845,0.1915,0.21510755377688845,0.23611805902951477,0.19681968196819682
ATF6,0.1634182908545727,0.213,0.2185,0.21060530265132565,0.21560780390195097,0.20422042204220422
Rarb,0.1984007996001999,0.21,0.2125,0.23561780890445222,0.2891445722861431,0.22912291229122914
TGIF1,0.22438780609695153,0.21,0.224,0.24562281140570286,0.2676338169084542,0.23432343234323433
SOX21,0.2013993003498251,0.2435,0.252,0.2751375687843922,0.29164582291145574,0.25272527252725274
Sox1,0.21039480259870064,0.256,0.2585,0.2926463231615808,0.27313656828414207,0.2581258125812581
ZNF143,0.26936531734132935,0.301,0.2785,0.2866433216608304,0.2546273136568284,0.27802780278027805
ATF3,0.24037981009495252,0.2825,0.301,0.32266133066533265,0.3016508254127064,0.28962896289628964
Rarg,0.25287356321839083,0.2855,0.3185,0.3181590795397699,0.3356678339169585,0.3021302130213021
PAX1,0.3118440779610195,0.364,0.3145,0.31915957978989495,0.2986493246623312,0.32163216321632165
PLAG1,0.408295852073963,0.3595,0.3165,0.32516258129064535,0.3426713356678339,0.35043504350435045
GLIS3,0.463768115942029,0.4035,0.366,0.38819409704852426,0.3536768384192096,0.39503950395039505
NFKB1,0.375312343828086,0.3275,0.322,0.432216108054027,0.5192596298149075,0.39523952395239526
GLI3,0.33233383308345826,0.472,0.3695,0.4627313656828414,0.38019009504752377,0.40334033403340336
HOXD12::ELK1,0.3548225887056472,0.3945,0.4225,0.41870935467733866,0.45972986493246626,0.41004100410041006
SRF,0.38580709645177413,0.4045,0.421,0.45822911455727866,0.5092546273136568,0.43574357435743577
MTF1,0.4757621189405297,0.497,0.5255,0.49974987493746875,0.4462231115557779,0.4888488848884888
RREB1,0.45327336331834084,0.508,0.532,0.5147573786893447,0.4467233616808404,0.49094909490949096
KLF13,0.49025487256371814,0.514,0.4925,0.51975987993997,0.46923461730865434,0.4971497149714971
Mlxip,0.41879060469765117,0.527,0.529,0.5352676338169085,0.5732866433216608,0.5166516651665166
NR3C2,0.4427786106946527,0.5675,0.5395,0.5597798899449725,0.5232616308154077,0.5265526552655265
TFAP4::FLI1,0.5237381309345327,0.5575,0.5265,0.5497748874437218,0.607303651825913,0.5529552955295529
PKNOX2,0.5107446276861569,0.554,0.561,0.591295647823912,0.5842921460730365,0.5602560256025603
CEBPB,0.48825587206396803,0.6105,0.577,0.5757878939469735,0.5717858929464732,0.5646564656465647
RFX4,0.5762118940529735,0.5515,0.5865,0.5817908954477239,0.5312656328164082,0.5654565456545655
RARA,0.5562218890554723,0.5425,0.5465,0.5682841420710355,0.6408204102051025,0.5708570857085709
NR3C1,0.47626186906546725,0.6215,0.591,0.6038019009504753,0.5682841420710355,0.5721572157215722
Rxra,0.5222388805597201,0.5615,0.5925,0.5852926463231616,0.6078039019509754,0.5738573857385738
