FACTOR,HUMAN_CODING,HUMAN_CODING_GENERATED,HUMAN_CODING_GENERATED_NEW,HUMAN_NON_CODING,MOUSE_CODING,MOUSE_NON_CODING,NON_PROMOTER
TFAP2C,18.39361078546307,13.2275,17.94736842105263,12.70316509837468,16.328265765765767,10.41775032509753,6.94360962998869
TFAP2A,17.261723329425557,12.4605,17.263157894736842,11.862703165098374,15.187781531531533,9.78673602080624,6.393763128130554
TFAP2B,14.084701055099648,9.992,12.894736842105264,9.53507271171942,12.38823198198198,7.703185955786736,5.033204071740184
ZBED4,13.08675263774912,9.3735,12.31578947368421,7.3982035928143715,11.74268018018018,6.222041612483745,2.3469865891097106
KLF2,11.20603751465416,8.6045,9.68421052631579,7.59409751924722,10.21114864864865,7.158322496749025,3.030780416868638
ZNF213,9.766705744431418,6.909,10.368421052631579,6.681351582549187,8.486486486486486,5.386540962288686,3.396348359993537
ZBTB24,9.575029308323565,7.2605,9.842105263157896,7.633875106928999,8.595157657657658,6.842652795838752,5.276862174826305
EGR1,9.400351699882767,7.2055,7.842105263157895,5.816082121471343,8.690033783783784,5.461313394018205,2.07174018419777
ASCL1,9.290445486518172,8.15,9.263157894736842,8.736954662104363,8.748873873873874,8.51072821846554,7.428179027306512
ZNF148,8.587924970691676,6.2355,7.0,5.385372112917023,7.297015765765765,4.891417425227568,2.0588948133785747
TCF12,8.584701055099648,7.241,7.631578947368421,7.040205303678357,8.12302927927928,6.670676202860858,4.973501373404427
KLF4,8.477139507620164,6.566,7.7894736842105265,6.278443113772455,7.498592342342342,5.894668400520156,3.266198093391501
NFIX,8.00498241500586,7.1885,8.789473684210526,7.695893926432848,7.752533783783784,7.447659297789337,6.986993052189368
SP9,7.542497069167643,5.8345,5.421052631578948,5.162532078699743,6.705518018018018,5.066319895968791,2.100985619647762
E2F6,7.240914419695193,5.547,6.2105263157894735,5.13601368691189,6.619650900900901,4.7285435630689205,2.625949264824689
FOSL1::JUND,6.803634232121922,8.3465,6.0,9.213857998289136,6.880067567567568,9.321521456436932,10.931572144126676
NR2C2,6.718640093786635,5.9225,5.2105263157894735,6.097946963216424,6.375563063063063,6.235370611183355,5.054451446114073
FEZF2,6.698124267291911,5.321,7.2631578947368425,5.545765611633875,6.238175675675675,5.241222366710013,3.824365810308612
EGR4,6.662368112543962,4.9755,6.052631578947368,4.125748502994012,5.978885135135135,3.902470741222367,1.4467603813216998
E2F8,6.565943728018757,5.0875,5.157894736842105,3.8922155688622753,6.208614864864865,3.4089726918075423,1.6846017127161093
Ptf1A,6.308616647127784,6.632,7.631578947368421,7.809666381522669,6.1475225225225225,7.995773732119636,8.62094037809016
SP8,6.223915592028136,4.8755,5.0,4.753207869974337,5.518581081081081,4.975292587776333,2.241153659718856
TFDP1,6.173505275498242,4.685,5.157894736842105,3.84388366124893,5.8699324324324325,3.3211963589076725,1.654871546291808
ZNF610,5.979777256740914,4.342,5.0,3.335329341317365,5.407657657657658,2.842002600780234,1.1676361286152852
Wt1,5.969812426729191,4.6835,5.421052631578948,4.1552609067579125,5.311936936936937,3.986996098829649,1.958797867183713
NFATC3,5.965123094958968,5.4125,5.421052631578948,5.56928999144568,6.096283783783784,5.377763328998699,5.165050896752303
PATZ1,5.941969519343494,4.2865,4.473684210526316,3.4644995722840037,5.052927927927928,3.1014304291287385,0.9777831636774924
ZNF93,5.852286049237984,4.4315,4.421052631578948,3.064157399486741,5.0470157657657655,2.47886866059818,1.344724511229601
ZBTB14,5.7790152403282535,4.302,4.947368421052632,3.537211291702309,5.616554054054054,3.062743823146944,1.3191145580869283
TCF3,5.764947245017585,4.9535,5.368421052631579,4.680496150556031,5.510416666666667,4.436931079323797,3.3345451607691063
ZNF263,5.553341148886283,4.4035,4.368421052631579,4.173652694610778,5.233108108108108,3.905396618985696,2.3758280820811115
Gmeb1,5.51641266119578,4.506,3.5789473684210527,3.27972626176219,5.882882882882883,2.894668400520156,1.5191468734852156
Zbtb2,5.450468933177023,4.5695,4.315789473684211,3.771599657827202,5.515202702702703,3.624512353706112,2.43682339634836
Zic3,5.414419695193435,4.517,4.842105263157895,4.674508126603935,4.959740990990991,4.284135240572172,3.565196316044595
Plagl1,5.390973036342321,3.886,5.684210526315789,4.095380667236955,4.6891891891891895,3.56404421326398,2.740830505735983
ZBTB7C,5.327373974208675,4.4355,5.894736842105263,4.3532934131736525,4.920608108108108,4.5425877763329,2.9694619486185165
TCF4,5.229191090269636,4.4015,4.947368421052632,4.393071000855432,4.936373873873874,4.158322496749025,3.322346097915657
CTCFL,5.2092614302461895,3.8905,4.473684210526316,3.585115483319076,4.672578828828829,3.1219115734720417,1.938762320245597
HIC2,5.208675263774912,4.764,5.947368421052632,5.240376390076989,4.7970157657657655,5.061768530559168,4.588624979802876
TBX5,5.174970691676436,5.033,3.9473684210526314,5.184345594525235,5.028434684684685,5.412873862158648,4.269591210211666
RELB,5.0800117233294255,4.519,5.2631578947368425,5.154405474764756,4.559684684684685,4.912548764629388,4.494748747778316
ZNF740,5.079132473622509,3.7675,4.2631578947368425,3.624465355004277,4.589245495495495,3.873862158647594,1.2352560995314268
ZNF549,5.017878077373974,4.216,4.684210526315789,4.514114627887083,4.726632882882883,4.239921976592978,3.3892389723703347
ZNF770,4.941383352872216,3.794,4.842105263157895,3.411890504704876,4.521396396396397,3.0078023407022108,2.211746647277428
HES5,4.933763188745604,4.0055,4.894736842105263,3.382805816937553,5.045045045045045,3.0757477243172957,1.6182743577314591
PRDM9,4.925556858147714,3.9035,3.0,3.727544910179641,3.987894144144144,4.023081924577373,1.7217644207464855
KLF9,4.84525205158265,3.8825,3.789473684210526,3.726689478186484,4.413288288288288,3.865409622886866,1.7733882695104215
KLF6,4.773153575615475,3.7035,3.6315789473684212,3.1783575705731395,4.442286036036036,2.965539661898569,1.3925513006947812
THAP1,4.764654161781946,3.7505,4.7894736842105265,3.923011120615911,4.256475225225225,3.576397919375813,2.687348521570528
KLF16,4.742672919109027,3.6705,3.473684210526316,3.3751069289991444,4.31615990990991,3.552665799739922,1.3160445952496365
YY2,4.6855216881594375,3.696,4.0,2.7634730538922154,4.586148648648648,2.565994798439532,1.856196477621587
CREB3L4,4.67672919109027,3.9725,2.526315789473684,3.5859709153122328,4.820101351351352,3.3530559167750327,2.6568912586847637
Nrf1,4.621043376318875,3.6705,4.052631578947368,2.612489307100085,4.517736486486487,2.228218465539662,0.8423008563580546
ZBTB7A,4.543083235638921,3.7935,3.1578947368421053,3.434131736526946,4.625844594594595,3.231469440832249,2.366537405073517
ZNF454,4.308030480656506,2.9195,4.631578947368421,2.870829769033362,3.756475225225225,2.291612483745124,1.4344805299725318
