,NON,WEAK,STRONG,GENERATED,ALL
CACCC-binding factor [T00077],0.0,0.0011166945840312675,0.0,0.0,0.0003459010722933241
Ik-1 [T02702],0.0009442870632672333,0.0,0.0,0.0,0.0003459010722933241
Egr-1 [T00241],0.0009442870632672333,0.0,0.0,0.0,0.0003459010722933241
ARP-1 [T00045],0.0009442870632672333,0.0011166945840312675,0.0,0.0,0.0006918021445866483
NRF-1 [T00673],0.0009442870632672333,0.0,0.0,0.005,0.0006918021445866483
RAR-beta:RXR-alpha [T05420],0.0009442870632672333,0.0,0.0013577732518669382,0.0,0.0006918021445866483
STAT1alpha [T01492],0.0009442870632672333,0.0,0.0013577732518669382,0.005,0.0010377032168799724
NF-E2 [T00558],0.0,0.002233389168062535,0.0013577732518669382,0.0,0.0010377032168799724
CDX2 [T03246],0.0018885741265344666,0.0011166945840312675,0.0,0.0,0.0010377032168799724
Smad3:Smad4 [T05271],0.0,0.002233389168062535,0.0,0.005,0.0010377032168799724
Egr-3 [T00243],0.0018885741265344666,0.0011166945840312675,0.0013577732518669382,0.0,0.0013836042891732965
C/EBPdelta [T00583],0.0,0.0,0.004073319755600814,0.005,0.0013836042891732965
HNF-4alpha [T03828],0.0018885741265344666,0.0011166945840312675,0.0027155465037338763,0.0,0.0017295053614666206
COUP-TF1 [T00149],0.0009442870632672333,0.0033500837520938024,0.0013577732518669382,0.0,0.0017295053614666206
ETF [T00270],0.003777148253068933,0.0,0.0,0.005,0.0017295053614666206
MAZ [T00490],0.0,0.002233389168062535,0.005431093007467753,0.0,0.0020754064337599448
RAR-alpha1 [T00719],0.0,0.0033500837520938024,0.0027155465037338763,0.005,0.0020754064337599448
SRF [T00764],0.0,0.005583472920156337,0.0013577732518669382,0.0,0.0020754064337599448
PU.1 [T02068],0.0018885741265344666,0.0011166945840312675,0.005431093007467753,0.0,0.002421307506053269
STAT3 [T01493],0.003777148253068933,0.0033500837520938024,0.0,0.0,0.002421307506053269
Smad3 [T04096],0.0,0.00446677833612507,0.005431093007467753,0.0,0.002767208578346593
GATA-3 [T00311],0.0028328611898017,0.002233389168062535,0.004073319755600814,0.005,0.003113109650639917
ELF-1 [T01113],0.003777148253068933,0.0033500837520938024,0.0013577732518669382,0.005,0.003113109650639917
NF-YA [T01804],0.0066100094428706326,0.0033500837520938024,0.0,0.0,0.0034590107229332413
NF-kappaB [T00590],0.003777148253068933,0.006700167504187605,0.0013577732518669382,0.0,0.0038049117952265654
